,en,de
534,Some construction workers are taking a break.,"Ein paar Bauarbeiter, die eine Pause machen."
535,A woman in a bright green sweater is playing with a dragon puppet a garden.,Eine Frau in einem grasgrünen Pullover spielt mit einer Drachenmarionette im Garten.
536,Large amount of people sitting up against the walls of buildings.,"Viele Menschen, die an die Wände von Gebäuden angelehnt sitzen."
537,A child hold green shoes is walking in the sand by the water.,"Ein Kind, das grüne Schuhe hält, geht im Sand neben dem Wasser entlang."
538,A wedding day with the bride in a bright white beautiful dress,Ein Hochzeitstag mit der Braut in einem hellweißen schönen Kleid
539,A person wearing a purple jacket stands behind a tall tree.,"Eine Person, die eine violette Jacke trägt, steht hinter einem hohen Baum."
540,Customers are waiting for service at a takeout window.,"Kunden warten am Fenster eines Imbisses darauf, bedient zu werden."
541,A woman with a floral shirt and purse and a man with a black shirt are walking while another man walks behind them.,"Eine Frau in einem geblümten Oberteil und Handtasche und ein Mann in einem schwarzen Hemd gehen, während ein anderer Mann hinter ihnen geht."
542,Bird's eye view of a man ascending a staircase outdoors.,"Vogelperspektive eines Mannes, der eine Treppe im Freien hochsteigt."
543,Men and women wearing white swim caps giving each other piggyback rides.,"Männer und Frauen, die weiße Bademützen tragen und einander Huckepack nehmen."
544,A family is sitting outside enjoying themselves in a park area.,Eine Familie sitzt draußen in einem Parkgebiet und lässt es sich gut gehen.
545,A brunette woman is sitting in a blue folding chair and reading at the beach.,Eine brünette Frau sitzt in einem blauen Klappstuhl am Strand und liest.
546,Commuters rush to get on the late train.,"Pendler beeilen sich, um den Spätzug zu erreichen."
547,A baby and a young child are sitting together in a highchair.,Ein Baby und ein Kleinkind sitzen zusammen in einem Hochstuhl.
548,A group of worshipers hold their services in a public park.,Eine Gruppe von Gläubigen hält in einem öffentlichen Park einen Gottesdienst ab.
549,A man is sitting in front of a computer monitor holding a keyboard and looking at the camera.,"Ein Mann sitzt vor einem Computerbildschirm, hält eine Tastatur und blickt in die Kamera."
550,A child is laying down on a wooden bench.,Ein Kind liegt auf einer Holzbank.
551,"Surrounded by spectators, a man in a red shirt, white pants and visor, swings a golf club.","Ein Mann in rotem Hemd, weißen Hosen und Sonnenschild schwingt, umgeben von Zuschauern, einen Golfschläger."
552,Two men are discussing sometime near a wall with some graffiti on it.,Zwei Männer diskutieren irgendwann in der Nähe einer Wand mit Graffiti.
553,"Some people with black belts, or black and red belts, are performing martial arts on a green mat.","Einige Personen mit schwarzen Gürteln, oder schwarzen und roten Gürteln, praktizieren Kampfsport auf einer grünen Matte."
554,A female martial arts student demonstrates with a weapon while others watch.,"Eine Kampfsportschülerin führt etwas mit einer Waffe vor, während andere zusehen."
555,Several young adults performing in martial arts clothing.,"Mehrere junge Erwachsene, die in Kampfsportkleidung etwas vorführen."
556,A young women sits at a vending stall labeled ice creams and programs.,"Eine junge Frau sitzt bei einem Verkaufsstand, an dem es angeblich Eis und Programme gibt."
557,A boy poses for a picture and in the background a man is hanging by a rope.,"Ein Junge posiert für ein Bild, und im Hintergrund hängt ein Mann an einem Seil."
558,Two people are sitting with their backs facing cotton candy.,Zwei Personen sitzen und haben ihren Rücken Zuckerwatte zugewandt.
559,A girl in a yellow dress with the sun shining on her face,"Ein Mädchen in einem gelben Kleid, der die Sonne ins Gesicht scheint."
560,Eight gentlemen are working with stone &amp; tile.,Acht Herren arbeiten mit Steinen und Fliesen.
561,2 women wearing brightly colored clothes are sitting next to a dirt road on a rock having a conversation while they 're watching the field.,"2 Frauen mit Kleidung in leuchtenden Farben sitzen neben einer unbefestigten Straße auf einem Stein und unterhalten sich, während sie auf das Feld blicken."
562,Two men in black eating a sandwich.,"Zwei schwarz gekleidete Männer, die ein Vesperbrot essen."
563,"Closeup of a man in a bar, holding his glasses slanted in front of his face.","Nahaufnahme eines Mannes in einer Bar, der seine Brille schräg vor sein Gesicht hält."
564,A boy is sitting on rectangular blocks.,Ein Junge sitzt auf rechteckigen Blöcken.
565,"A child is playing in the street, doing a cartwheel.",Ein Kind spielt in der Straße und schlägt ein Rad.
566,A man is sitting behind a hard wood counter.,Ein Mann sitzt hinter einer Theke aus Hartholz.
567,A man in a black jacket is taking a photo of a man in a red jacket.,Ein Mann in einer schwarzen Jacke fotografiert einen Mann in einer roten Jacke.
568,A man in a yellow jumpsuit rowing a boat with a bird in front.,"Ein Mann in einem gelben Overall rudert ein Boot, vorne ein Vogel."
569,A male with a hat is juggling four balls.,Eine männliche Person mit einem Hut jongliert vier Bälle.
570,A person in a black hat is holding multicolored juggling pins.,Eine schwarz gekleidete Person hält mehrfarbige Jonglierkeulen.
571,"Five people are sitting around a table, outside, playing a card game.",Fünf Personen sitzen im Freien um einen Tisch und spielen ein Kartenspiel.
572,Family sitting on a bench near the beach.,Eine Familie sitzt auf einer Bank in der Nähe des Strands.
573,A man and a woman can prepare meals at camp together.,Ein Mann und eine Frau können im Lager zusammen Mahlzeiten vorbereiten.
574,The four hikers walked up the gravel road.,Die vier Wanderer sind die Schotterstroße hochgelaufen.
575,Two African American makes play their trumpets in a major city with onlookers watching.,Zwei afroamerikanische Männer spielen in einer größeren Stadt Trompete und werden von Zuschauern betrachtet.
576,People at a distance trying to climb a cliff.,"Menschen in der Ferne versuchen, an einem Felsabhang hoch zu klettern."
577,Two police officers look at a house from a distance with binoculars.,Zwei Polizisten betrachten aus der Ferne ein Haus mit dem Fernglas.
578,A group of children in brown outfits are performing.,Eine Gruppe von Kindern in brauner Kleidung führt etwas vor.
579,Two young male hikers using a map and compass to find their direction in the woods.,"Zwei junge männliche Wanderer, die Karte und Kompass verwenden, um im Wald ihre Richtung zu finden."
580,Two men on the side of a barge,Zwei Männer auf der Seite eines Kahns
581,"Three children, baby in the center, sit in an outdoor swing chair.","Drei Kinder, Baby in der Mitte, sitzen in einem Hängesessel im Freien."
582,A child stands ready with a baseball mitt.,Ein Kind steht mit einem Fanghandschuh bereit.
583,Two girls standing on grass face each other.,Zwei Mädchen stehen einander auf Gras gegenüber.
584,Group of people walking on the heavy snow.,Eine Gruppe geht durch den Tiefschnee.
585,Two workers that are working on the side of a street in neon yellow vests.,"Zwei Arbeiter in neonfarbenen Westen, die am Rand einer Straßen arbeiten."
586,City workers fixing concrete on a road.,"Städtische Arbeiter, die Beton auf einer Straße reparieren."
587,A construction crew working at several spots on the road.,"Eine Bauarbeitermannschaft, die an mehreren Stellen auf der Straße arbeitet."
588,A man with red-hair working on his bicycle.,"Ein rothaariger Mann, der auf seinem Fahrrad arbeitet."
589,A woman sitting on a bench in front of a large painting.,"Eine Frau, die vor einem großen Gemälde auf einer Bank sitzt."
590,A young boy plays on a swing.,Ein Junge spielt auf einer Schaukel.
591,Two men in the woods using a chainsaw to cut some trees.,"Zwei Männer im Wald benutzen eine Kettensäge, um Bäume zu fällen."
592,Construction workers work on a road into the night.,Bauarbeiter arbeiten bis in die Nacht hinein an einer Straße.
593,A man wearing a black jacket is playing guitar.,Ein Mann mit schwarzem Jackett spielt Gitarre.
594,Group of people standing or sitting outside of a cafe.,Eine Gruppe steht oder sitzt vor einem Café.
595,A man with a guitar is sitting on a bench outside with three other people sitting by him.,"Ein Mann mit einer Gitarre sitzt auf einer Bank im Freien, drei andere Personen sitzen bei ihm."
596,A man and a woman fish from a boat.,Ein Mann und eine Frau fischen von einem Boot aus.
597,A young child holds a spoon to its mouth while sitting in a chair.,Ein kleines Kind sitzt in einem Stuhl und hält einen Löffel an den Mund.
598,A man in a tan fisherman's cap puts lip balm on a woman in a boat.,Ein Mann in einer lohfarbenen Schiffermütze trägt bei einer Frau in einem Boot Lippenschutz auf.
599,A man adjusts the knobs on a large sound mixing board.,Ein Mann stellt die Knöpfe eines großen Mischpults ein.
600,A woman in a striped shirt and black hair stands facing some booths.,Eine Frau mit schwarzen Haaren in gestreiftem Oberteil steht vor ein paar Ständen.
601,A black dog and a brown dog playing in tall weeds.,"Ein schwarzer Hund und ein brauner Hund, die in hohem Unkraut spielen."
602,A man in a red and white checked shirt plays in a park.,Ein Mann in einem rot-weiß-karierten Hemd spielt in einem Park.
603,Two men take measurements of a wall at an open construction site.,Zwei Männer nehmen die Maße einer Wand an einer offenen Baustelle.
604,A man in a white shirt is playing tennis.,Ein Mann in einem weißen Hemd spielt Tennis.
605,A brown dog jumping in the air on a brown plain.,Ein brauner Hund spring auf einer braunen Ebene in die Luft.
606,A young woman standing on a window ledge of brick building while child looks on.,"Eine junge Frau steht an einer Fensterbank eines Ziegelgebäudes, während ein Kind zusieht."
607,"Two teenage girls, one wearing a white jersey and the other wearing a red jersey, playing soccer.","Zwei Teenagerinnen, eine mit einem weißen Trikot, die andere mit einem roten Trikot, spielen Fußball."
608,A young baby sucking a Binky asleep in a chair.,Ein kleines Baby saugt in einem Stuhl schlafend an einem Binky.
609,"A man pulling a fancy rickshaw along a waterway smiles and gives the ""thumbs up"" sign.","Ein Mann, der eine schicke Rikscha an einem Wasserweg entlang zieht, lächelt und zeigt mit dem Daumen nach oben."
610,A closeup of a child on a playground with adult supervision.,Eine Nahaufnahme von einem Kind auf einem Spielplatz unter Aufsicht von Erwachsenen.
611,A man in a red shirt pins a younger man in a white shirt to a blue padded mat.,Ein Mann in einem roten Hemd drückt einen jüngeren Mann in einem weißen Hemd auf eine blau gepolsterte Matte.
612,These men are practicing martial arts.,Diese Männer machen Kampfsport.
613,Women and men in a different country looking like they are clapping,"Frauen und Männer in einem anderen Land, die aussehen, als ob sie klatschen."
614,A woman shops at a farmers market.,Eine Frau kauft auf einem Bauernmarkt ein.
615,People walk around and mingle in a large open space with a dog.,Leute laufen auf einem großen offenen Platz mit einem Hund herum und vermischen sich.
616,Two women wearing hats covered in flowers are posing.,"Zwei Frauen posieren mit Hüten, die von Blumen bedeckt sind."
617,The little girl is riding in a brown horse.,Das kleine Mädchen reitet mit einem braunen Pferd herein.
618,A teenage boy is talking to a group of teenage girls.,Ein männlicher Teenager spricht zu einer Gruppe weiblicher Teenager.
619,A man is sitting at an outside bar near many soda and beer cans.,Ein Mann sitzt in einer Bar im Freien bei vielen Limonade- und Bierdosen.
620,Three people stand outside around two grills where meat is being cooked.,"Drei Personen stehen im Freien um zwei Grills, auf denen Fleisch gegart wird."
621,An asian family is picnicking at the beach while others play in the water.,"Eine asiatische Familie macht am Strand Picknick, während andere im Wasser spielen."
622,Two men in tall hats frown at the camera,Zwei Männer in hohen Hüten blicken stirnrunzelnd in die Kamera.
623,Three people sit on wood benches set on white and orange tile.,Drei Personen sitzen auf Holzbänken auf weißen und orangefarbenen Fliesen.
624,The man is wearing a white shirt and sunglasses.,Der Mann trägt ein weißes Hemd und eine Sonnenbrille.
625,A group of three individuals are working in a cluttered office setting.,Eine aus drei Personen bestehende Gruppe arbeitet in einer vollgepackten Büroumgebung.
626,A boy in a wetsuit jumps into a pool with a bald man.,Ein Junge in einem Taucheranzug springt in ein Schwimmbecken mit einem glatzköpfigen Mann.
627,A boy is diving off a diving board into a swimming pool.,Ein Junge taucht von einem Springbrett aus in ein Schwimmbecken.
628,Two emergency responders are at the scene of an incident.,Zwei Sanitäter sind an einer Unfallstelle.
629,A man creating a clay object at a potters wheel.,Ein Mann stellt an einer Töpferscheibe ein Objekt aus Ton her.
630,People having a barbecue by the beach.,Mehrere Personen grillen am Strand.
631,A woman is holding a little girl who is trying to catch bubbles.,"Eine Frau hält ein kleines Mädchen, das versucht, Seifenblasen zu fangen."
632,Two men are hanging out and grilling,Zwei Männer hängen ab und grillen.
633,A woman playing a guitar in front of a group of people standing outside.,"Eine Frau, die Gitarre spielt, vor einer Gruppe, die im Freien steht."
634,Two dogs are playing together on green grass.,Zwei Hunde spielen zusammen auf grünem Gras.
635,An artist consults the plan for her section of an elaborate chalk drawing on a sidewalk.,Eine Künstlerin sieht auf dem Plan für ihren Abschnitt eines komplizierten Kreidegemäldes auf einem Bürgersteig nach.
636,"A man at work, butchering a cow.","Ein Mann bei der Arbeit, wie er eine Kuh schlachtet."
637,A man with a large feather in his hat rides a horse.,Ein Mann mit einer großen Feder im Hut reitet ein Pferd.
638,"Two persons carry a large, inflatable bottle, past a young woman and a parked white car.",Zwei Personen tragen eine große aufblasbare Flasche an einer jungen Frau und einem geparkten weißen Auto vorbei.
639,These girls are in uniforms and are playing field hockey.,Diese Mädchen tragen Uniformen und spielen Feldhockey.
640,A white and tan dog leaps through the air.,Ein weiß-lohfarbener Hund springt durch die Luft.
641,A woman in the middle of throwing a bowling ball in a bowling alley.,"Eine Frau, die gerade dabei ist, eine Bowlingkugel auf eine Bowlingbahn zu werfen."
642,One man is playing the drums while another is singing Karaoke.,"Ein Mann spielt die Trommeln, während ein andere Karaoke singt."
643,A brown horse stands near a black horse that is sitting on the ground.,"Ein braunes Pferd steht in der Nähe eines schwarzen Pferds, das auf dem Boden sitzt."
644,A kid looking over a carnival booth counter at the various toys.,Ein Kind sieht eine Jahrmarktsbude mit verschiedenen Spielzeugen an.
645,A man sleeps in a hammock next to water and a boat.,Ein Mann schläft in einer Hängematte neben dem Wasser und einem Boot.
646,Eleven little girls posing as a team in a pool.,Elf kleine Mädchen posieren in einem Schwimmbecken als Team.
647,A man in a gray and black sweater is sitting on a stool in front of a group of cages.,Ein Mann in einem grau-schwarzen Pullover sitzt auf einem Hocker vor einer Gruppe von Käfigen.
648,A very unusually dressed man sitting beside an ice cream cooler.,"Ein sehr ungewöhnlich bekleideter Mann, der neben einem Eiskühler sitzt."
649,A man in a brown shirt is sitting on the sidewalk and playing a guitar.,Ein Mann in einem braunen Hemd sitzt auf dem Gehweg und spielt Gitarre.
650,A little girl with a tiara eating in someones lap.,"Ein kleines Mädchen mit einem Diadem, das jemandem auf dem Schoß sitzt und etwas isst."
651,A black and brown dog is laying on a white shaggy carpet.,Ein schwarz-brauner Hund liegt auf einem weißen ungepflegten Teppich.
652,The three girls sat on the beach.,Die drei Mädchen saßen am Strand.
653,A little boy looks at his reflection in a burnished marble wall.,Ein kleiner Junge blickt auf sein Spiegelbild in einer polierten Marmorwand.
654,Men and women on bikes stop to look at something.,"Männer und Frauen auf Fahrrädern halten an, um sich etwas anzusehen."
655,A little girl in pink dances with her hands on her hips.,Ein kleines Mädchen in Rosa tanzt mit den Händen auf den Hüften.
656,A man and woman enjoy a cigarette outside of a shop.,Ein Mann und eine Frau genießen eine Zigarette vor einem Laden.
657,An Asian city at night with a large number of people walking around.,Eine asiatische Stadt bei Nacht mit vielen umherlaufenden Menschen.
658,A woman wearing a blue jacket reaching out to a child.,"Eine Frau mit einer blauen Jacke, die nach einem Kind greift."
659,A man dressed as a cook enjoys a meal and bottle of wine in an empty restaurant.,Ein als Koch gekleideter Mann in einem leeren Restaurant genießt eine Mahlzeit und eine Flasche Wein.
660,A man with facial hair in white clothes eating a steak.,"Ein Mann mit Bart in weißer Kleidung, der ein Steak isst."
661,Three men work quickly preparing food in the kitchen of an upper-class Chinese restaurant.,Drei Männer arbeiten rasch und bereiten in der Küche eines vornehmen chinesischen Restaurants Speisen zu.
662,A man sits on a rock.,Ein Mann sitzt auf einem Stein.
663,"A young girl in a yellow dance, dancing on a stage with a baseball field in the background.",Ein Mädchen in einem gelben Tanz tanzt auf einer Bühne mit einem Baseballfeld im Hintergrund.
664,The kids play in the wooded area near the water.,Die Kinder spielen im Waldgebiet in der Nähe des Wassers.
665,A girl in a pink shirt lies on her back in the grass.,"Ein Mädchen, das ein rosafarbenes Oberteil trägt, liegt im Gras auf dem Rücken."
666,A couple holds a sign that reads Teaching children for peace.,"Ein Paar hält eine Schild, auf dem steht: „Teaching children for peace“."
667,Three people wearing colorful costumes and masks sitting between two stone statues.,"Drei Personen mit farbenfrohen Kostümen und Masken, die zwischen zwei Statuen aus Stein sitzen."
668,A man on bicycle riding down a rocky hill.,"Ein Mann, der auf einem Fahrrad einen steinigen Hügel hinunterfährt."
669,Three young girls dance on the beach in the sand.,"Drei Mädchen, die am Strand im Sand tanzen."
670,Young girl in blue dress stepping over a soccer ball.,"Ein Mädchen in einem blauen Kleid, das über einen Fußball steigt."
671,A snarling brown and black dog corners a brown long-haired cat under a wooden bench.,Ein knurrender braun-schwarzer Hund stellt eine braune Langhaarkatze unter einer Holzbank.
672,Many people are standing and are watching something.,Viele Menschen stehen herum und sehen etwas an.
673,"2 people sit barefoot in a tent, one with a beer and one lounging playing a guitar.","2 Personen sitzen barfuß in einem Zelt, eine hat ein Bier in der Hand und eine sitzt herum und spielt Gitarre."
674,A man in shorts is chopping wood outside a teepee.,Ein Mann in kurzen Hosen hackt vor einem Indianerzelt Holz.
675,One boy in a striped shirt and one girl in a green shirt each riding on bicycles with training wheels.,Ein Junge in einem gestreiften Hemd und ein Mädchen in einer grünen Hemdbluse fahren auf Fahrrädern mit Stützrädern.
676,An adult and a child sitting on a police motorcycle.,"Eine erwachsene Person und ein Kind, die auf einem Polizeimotorrad sitzen."
677,A man with no shirt on and a hat is using a hammer and anvil.,Ein Mann mit nacktem Oberkörper und einem Hut benutzt Hammer und Amboss.
678,A woman in black is playing a Cello type instrument.,Eine Frau in Schwarz spielt ein celloartiges Instrument.
679,"Two men in a wooden boat, one wearing yellow and one wearing black, traveling on a smooth body of water.","Zwei Männer in einem Holzboot, von denen einer gelb und einer schwarz angezogen ist, die auf einem glatten Gewässer unterwegs sind."
680,A young man with ginger hour is playing a game of pool.,Ein junger Mann mit rotblondem Haar spielt Billard.
681,A man in a red outfit is riding a red motorbike uphill on a motocross circuit.,Ein Mann in rotem Outfit fährt mit einem roten Motorrad auf einer Motocross-Strecke bergaufwärts.
682,A woman giving a blond-haired toddler a drink from a cup.,"Eine Frau, die einem blonden Kleinkind aus einer Tasse zu trinken gibt."
683,Six women are sitting at a table together in front of a bookshelf.,Sechs Frauen sitzen zusammen an einem Tisch vor einem Bücherregal.
684,People walk by a display of underwear hanging in a stall.,"Leute gehen an einem Stand vorbei, an dem zum Verkauf angebotene Unterwäsche hängt."
685,Two bicyclists pose by a stream for a picture.,Zwei Radfahrer an einem Bach posieren für ein Foto.
686,Two children are standing on a green metal fence.,Zwei Kinder stehen auf einem grünen Metallzaun.
687,A young boy wearing a clever black and white shirt with his head bowed down,"Ein Junge mit einem raffinierten schwarz-weißen Hemd, der seinen Kopf gesenkt hat."
688,A truck has just crashed into the back of another truck.,Ein Lkw ist gerade auf das Heck eines anderen Lkw aufgefahren.
689,Two restaurant employees exchange a plate of food under a Mongolian BBQ neon sign.,Zwei Restaurantmitarbeiter unter einer „Mongolian BBQ“-Leuchtreklame übergeben einen Teller mit Essen.
690,Two boys playing in the water wearing shorts.,"Zwei Jungen mit kurzen Hosen, die im Wasser spielen."
691,A green John Deere tractor in a field pulling a red trailer.,"Ein grüner John Deere-Traktor auf einem Acker, der einen roten Anhänger zieht."
692,Two children are playing on a makeshift barrel swing.,Zwei Kinder spielen auf einer improvisierten Fassschaukel.
693,"A varied crowd mills about (or rough-houses) on a public street, with lots of bicycles on display.","Eine bunt gemischte Menschenmenge läuft auf einer Straßen herum (oder macht Radau), wo viele Fahrräder ausgestellt sind."
694,Two people do jumping jacks on the beach,Zwei Personen machen am Strand Hampelmann.
695,There are about a dozen of men in work clothes that are getting directions for a task.,Ungefähr ein Dutzend Männer in Arbeitskleidung erhalten Anweisungen für eine Aufgabe.
696,The 3 dogs are cruising down the street.,Die 3 Hunde sind auf der Straße unterwegs.
697,The lady in the red car is crossing the bridge.,Die Dame im roten Auto fährt über die Brücke.
698,A girl with a black purse sitting on a wooden bench.,Ein Mädchen mit einer schwarzen Handtasche sitzt auf einer Holzbank.
699,A man in a plaid shirt connecting his black laptop to his microscope.,"Ein Mann mit einem karierten Hemd, der sein schwarzes Laptop an sein Mikroskop anschließt."
700,A man is painting on a sidewalk in the city.,Ein Mann malt auf einen Gehweg in der Stadt.
701,A girl in a white shirt is sitting on a park bench with a dog next to her.,Ein Mädchen in einem weißen Oberteil sitzt auf einer Parkbank mit einem Hund neben sich.
702,A man riding a bike wearing a green shirt with a drink in his hand.,"Ein Mann mit einem grünen Hemd, der Fahrrad fährt und ein Getränk in der Hand hat."
703,A man is playing a small guitar-like instrument and singing into a microphone.,Ein Mann spielt ein kleines gitarrenähnliches Instrument und singt in ein Mikrophon.
704,The women with shorts has her hand placed on a white car.,Die Frau mit den kurzen Hosen hat ihre Hand auf ein weißes Auto gelegt.
705,A person is standing with one leg propped up with an object with a blue line in his left hand.,Eine stehende Person hat ein Bein aufgestellt und hat ein Objekt mit einer blauen Linie in der linken Hand.
706,Kids playing at a playground on a stack of tires,Kinder spielen auf einem Reifenstapel auf einem Spielplatz.
707,A man in red snow gear looks at an expanse of snow and mountains.,Ein Mann in rotem Schneeanzug blickt auf ein großes Gebiet mit Schnee und Bergen.
708,"A man wearing a wife-beater, sitting around fruit in a low budget market.","Ein Mann, der ein weißes Unterhemd trägt, sitzt in einem Billigmarkt neben Obst."
709,A boy in a red hat and black shirt is skateboarding near a red and white striped curb.,Ein Junge in roter Mütze und schwarzem Hemd fährt in der Nähe einer rot-weiß-gestreiften Bordsteinkante Skateboard.
710,A young child is climbing a rock wall in all his protective gear.,Ein kleines Kind klettert in vollständiger Ausrüstung eine Felswand hoch.
711,Asian woman in white shirt standing away from the crowd behind her.,Eine asiatische Frau in weißem Oberteil steht in einem gewissen Abstand von der Menschenmenge hinter ihr.
712,A woman on a subway is falling asleep.,Eine Frau in einer U-Bahn schläft ein.
713,A female athlete ties the laces of one of her cleats on the field.,Eine Sportlerin bindet auf dem Feld die Schnürsenkel eines ihrer Sportschuhe.
714,A man in yellow and green shorts jumping in a living room.,"Ein Mann in gelb-grünen Shorts, der in einem Wohnzimmer springt."
715,Young girl stirs a pot with a spoon in the kitchen while wearing a large black blanket.,"Ein Mädchen, das eine große schwarze Decke trägt, rührt in der Küche mit einem Löffel in einem Topf."
716,Several travelers either standing or sitting on what appears to be a subway car.,"Mehrere Reisende, die in etwas, was wie eine U-Bahn aussieht, sitzen oder stehen."
717,A boy experiencing and exhibit at the museum.,"Ein Junge, der eine Ausstellung im Museum erlebt."
718,A male gymnast leaps over a stack of wooden platforms.,Ein Turner springt über einen Stapel Holzplattformen.
719,A dog trots across the ground with a large stick in his mouth.,Ein Hund trottet mit einem großen Stock im Maul über das Feld.
720,Man wearing protective eye gear performs a science experiment while woman watches.,"Ein Mann, der Augenschutz trägt, führt ein naturwissenschaftliches Experiment durch, während eine Frau zusieht."
721,A tall man stirring a pot of food on a stove.,"Ein großer Mann, der einen Topf mit Essen rührt, der auf einem Herd steht."
722,A woman is being interviewed at her dining table.,Eine Frau wird an ihrem Esstisch befragt.
723,A woman with long brunette hair and a beige hoodie is standing near cabinets.,Eine Frau mit langem brünettem Haar und einem beigefarbenen Kapuzenteil steht in der Nähe von Schränken.
724,A man with gloves works in a lab.,Ein Mann mit Handschuhen arbeitet in einem Labor.
725,A boy laying on the grass face down with a football at his feet.,"Ein Junge, der mit dem Gesicht nach unten und einem Fußball zu seinen Füßen im Gras liegt."
726,A woman realigns her sock in a messy park.,"Eine Frau, die in einem unordentlichen Park ihre Socke richtet."
727,Boy and his family celebrating his birthday with a brightly lit cake.,"Ein Junge und seine Familie, die mit einem hell leuchtenden Kuchen seinen Geburtstag feiern."
728,A man driving a green miniature train.,"Ein Mann, der einen grünen Miniaturzug fährt."
729,A man in a white t-shirt is smiling as looking at something.,"Ein Mann mit einem weißen T-Shirt lächelt, als ob er etwas ansieht."
730,A man is pouring drinks at a table.,Ein Mann schenkt an einem Tisch Getränke aus.
731,Two black dogs are trotting through an empty public area.,Zwei schwarze Hunde trotten durch einen leeren öffentlichen Bereich.
732,A girl in a green shirt jumps in the air.,Ein Mädchen mit einem grünen Oberteil springt in die Luft.
733,About 12 kids and a few adults get splashed by an off-camera source.,Ungefähr 12 Kinder und ein paar Erwachsene werden von etwas neben der Kamera bespritzt.
734,An old man in traditional costume seems to be in a cheerful mood.,Ein alter Mann in traditionellem Kostüm scheint gut gelaunt zu sein.
735,A female with blond-hair is cutting a watermelon on a marble countertop.,Eine weibliche Person mit blonden Haaren schneidet auf einer Marmorarbeitsplatte eine Wassermelone.
736,People are standing on a platform to board a train.,"Menschen stehen auf einem Gleis, um in einen Zug zu steigen."
737,A little boy wearing a blue baseball cap is sitting on a dock overlooking the water.,Ein kleiner Junge mit einer blauen Baseballkappe sitzt auf einem Dock und blickt auf das Wasser.
738,Groups of people observe fish in a large tank.,Menschengruppe beobachten Fische in einem großen Becken.
739,Four people walking across thick snow during a sunset.,"Vier Personen, die bei Sonnenuntergang durch dicken Schnee waten."
740,A waiter presenting an order to the kitchen staff.,"Ein Kellner, der Küchenpersonal eine Bestellung überbringt."
741,A woman in a teal shirt and a beige cardigan looks away from the board game she is sitting in front of.,"Eine Frau in einem türkisen Oberteil und einer beigefarbenen Strickjacke blickt von einem Brettspiel auf, vor dem sie sitzt."
742,People waiting in line for their favorite beverage.,Leute warten in einer Schlange auf ihr Lieblingsgetränk.
743,A military or police officer stands by as people pass in a public square.,"Ein Militärangehöriger oder Polizist steht in einem Park, während Menschen an ihm vorbeigehen."
744,A woman in a red dress covers another woman's eyes.,Eine Frau in einem roten Kleid bedeckt die Augen einer anderen Frau.
745,A woman reading a newspaper and a man in a green jacket riding a train.,Eine zeitungslesende Frau und ein Mann in einer grünen Jacke fahren Zug.
746,A man standing and cheering amongst a stadium of others sitting.,"Ein Mann, der in einem Stadium zwischen sitzenden Personen steht und jemand anfeuert."
747,A man without a shirt is walking on top of lots of rocks.,Ein Mann mit nacktem Oberkörper geht auf vielen Steinen.
748,A boy in a red sweater running on the beach,"Ein Junge in einem roten Pullover, der am Strand rennt."
749,A couple walking at a gathering with a balloon in the air behind them.,"Ein Paar,  das bei einer Zusammenkunft mit einem Luftballon unterwegs ist, der hinter ihm in der Luft schwebt."
750,A man in a black hat walks down the street.,Ein Mann mit schwarzem Hut geht die Straße entlang.
751,A man is standing on a street holding a sign.,Ein Mann steht auf einer Straße und hält ein Schild.
752,The man on the beach looking for stuff with metal detector.,"Der Mann am Strand, der mit einem Metalldetektor nach Sachen sucht."
753,A young boy wearing a blue t-shirt holds up an odd-looking object for inspection while standing among trees.,Ein Junge mit einem blauen T-Shirt steht zwischen Bäumen und hält ein komisch aussehendes Objekt zur Begutachtung hoch.
754,Two young children are standing in hall.,Zwei kleine Kinder stehen in einem Flur.
755,The waterskier does a flip behind a boat.,Das Wasserskifahrer macht hinter einem Boot einen Salto.
756,A small boy is sitting on a bench next to a large jelly bean mascot.,Ein kleiner Junge sitzt auf einer Bank neben einem großen Geleebonbon-Maskottchen.
757,Two people are wakeboarding in the water and are being pulled by a boat.,Zwei Leute machen Wakeboarding im Wasser und werden von einem Boot gezogen.
758,A man sprinkles seasonings on his barbecue in front of foliage.,"Ein Mann streut Gewürze auf sein Grillgut, im Hintergrund ist Laub zu sehen."
759,"Boy with dark skin, standing on his head with legs spread, at the end of a floating wooden boat.","Ein Junge mit dunkler Haut, der am Ende eines schwimmenden Holzboots mit gespreizten Beinen auf dem Kopf steht."
760,Two men are playing music on a bench.,Zwei Männer auf einer Bank musizieren.
761,Two woman in colorful costumes look at a little girl wearing a brown vest.,Zwei Frauen in farbenfrohen Kostümen blicken auf ein Mädchen mit einem braunen Oberteil.
762,Some children watching fish in a pool.,Ein paar Kinder beobachten Fische in einem Becken.
763,A backhoe is on top of a pile of rubble from a demolished building.,Ein Bagger steht auf einem Schutzhaufen vor einem abgerissenen Gebäude.
764,Three boys play with paddles on the beach.,Drei Jungen spielen am Strand mit Paddeln.
765,A woman in a light blue jacket is riding a bike.,Eine Frau in einer hellblauen Jacke fährt Fahrrad.
766,Someone is taking a stroll on their bike.,Jemand macht einen Ausflug mit dem Fahrrad.
767,Two people with helmets are riding bikes in front of a building.,Zwei Personen mit Schutzhelmen fahren vor einem Gebäude Fahrrad.
